college,price
ITT Technical Institute-Everett,22097.00
Nebraska Wesleyan University,22086.00
Keiser Career College-Greenacres,22082.00
University of Phoenix-Oregon Campus,22069.00
Dorsey Business Schools-Waterford Pontiac,22069.00
Indiana Institute of Technology,22065.00
University of Phoenix-Indianapolis Campus,22062.00
Le Cordon Bleu College of Culinary Arts-Atlanta,22055.00
Virginia Intermont College,22049.00
ITT Technical Institute-Wichita,22047.00
MedTech College-Greenwood Campus,22045.00
University of Phoenix-Hawaii Campus,22042.00
Ashland University,22041.00
Antonelli College-Hattiesburg,22031.00
College of Visual Arts,22024.00
Benedictine College,22014.00
ITT Technical Institute_High Point,22012.00
Cardinal Stritch University,22002.00
University of Phoenix-Dallas Campus,22001.00
ITT Technical Institute_Madison,21998.00
Prince Institute-Rocky Mountains,21995.00
Daymar College-Paducah Main,21990.00
Joffrey Ballet School-American Ballet Center,21980.00
Everest Institute-Norcross,21976.00
Ohio College of Massotherapy Inc,21971.00
Corban University,21964.00
University of Phoenix-West Florida Campus,21954.00
Polytechnic Institute of New York University,21951.00
Thiel College,21950.00
Cambridge College,21949.00
Argosy University-Denver,21943.00
University of Phoenix-Southern Arizona Campus,21934.00
St Catherine University,21923.00
Argosy University-San Diego,21922.00
ITT Technical Institute-Norwood,21913.00
Le Cordon Bleu College of Culinary Arts-Dallas,21906.00
ITT Technical Institute-Saint Rose,21901.00
Everest University-South Orlando,21898.00
Brown Mackie College-Albuquerque,21869.00
University of Phoenix-Chicago Campus,21867.00
ITT Technical Institute-Owings Mills,21861.00
Grinnell College,21855.00
Lycoming College,21855.00
Indiana Wesleyan University,21852.00
Chatham University,21841.00
Augustana College,21840.00
National American University-Centennial,21837.00
Heald College-Portland,21837.00
College America-Cheyenne,21836.00
Skidmore College,21829.00
DeVry University-New Jersey,21822.00
Bridgeport Hospital School of Nursing,21820.00
ITT Technical Institute-Kansas City,21815.00
University of Phoenix-Maryland Campus,21808.00
ITT Technical Institute-South Bend,21805.00
Berkeley College-New York,21802.00
Golf Academy of America-Altamonte Springs,21802.00
ITT Technical Institute-Little Rock,21798.00
Dorsey Business Schools-Southgate,21797.00
Westwood College-Ft Worth,21795.00
Hope International University,21787.00
Fortis Institute-Erie,21779.00
University of Phoenix-Idaho Campus,21773.00
ITT Technical Institute_Johnson City,21770.00
University of Phoenix-Raleigh Campus,21762.00
Lexington College,21759.00
McDaniel College,21752.00
Arizona Christian University,21749.00
Remington College-Dallas Campus,21725.00
University of Phoenix-Charlotte Campus,21722.00
Misericordia University,21720.00
Marymount College,21715.00
Kaplan University-Davenport Campus,21715.00
Memphis College of Art,21710.00
Colorado School of Healing Arts,21709.00
Pinnacle Career Institute-Lawrence,21709.00
ITT Technical Institute-Tempe,21706.00
ITT Technical Institute_Dearborn,21704.00
University of Phoenix-Memphis Campus,21700.00
Saint Francis University,21698.00
Aviation Institute of Maintenance-Houston,21697.00
ITT Technical Institute-Wilmington,21695.00
Pace University-New York,21693.00
Everest College-Tacoma,21693.00
ITT Technical Institute-Arnold,21692.00
Virginia College-Mobile,21684.00
ITT Technical Institute-Austin,21681.00
ITT Technical Institute-Newburgh,21676.00
University of Phoenix-Chattanooga Campus,21663.00
ITT Technical Institute-Atlanta,21655.00
Golf Academy of America-Chandler,21655.00
Hiram College,21652.00
Pitzer College,21637.00
New Hampshire Institute of Art,21631.00
University of Phoenix-Savannah Campus,21628.00
National American University-Colorado Springs South,21621.00
ITT Technical Institute-Rancho Cordova,21620.00
University of Phoenix-Des Moines Campus,21619.00
Argosy University-San Francisco Bay Area,21618.00
University of Phoenix-Columbus Georgia Campus,21617.00
University of Phoenix-Southern Colorado Campus,21614.00
Franklin University,21606.00
ITT Technical Institute-Fort Wayne,21595.00
ITT Technical Institute-Murray,21591.00
St John's College,21583.00
Robert Morris University,21573.00
Everest University-Lakeland,21562.00
Everest College-LA Wilshire,21540.00
Sanford-Brown College-Portland,21526.00
ITT Technical Institute-Jacksonville,21523.00
Randolph College,21520.00
ITT Technical Institute-Tampa,21520.00
Argosy University-Washington D.C.,21516.00
University of Phoenix-North Florida Campus,21516.00
American Institute of Alternative Medicine,21503.00
University of Phoenix-Northwest Arkansas Campus,21502.00
Aviation Institute of Maintenance-Indianapolis,21500.00
Vanguard University of Southern California,21496.00
Everest College-Dallas,21491.00
University of Phoenix-Birmingham Campus,21487.00
Centura College-Alexandria,21483.00
ITT Technical Institute-Kennesaw,21480.00
International Academy of Design and Technology-Nashville,21480.00
Everest College-Aurora,21478.00
LeTourneau University,21468.00
William Jewell College,21467.00
University of Phoenix-Omaha Campus,21467.00
Marietta College,21456.00
Vatterott Career College-Memphis Appling Farms,21455.00
Everest University-North Orlando,21452.00
Haverford College,21449.00
Everest Institute-Pittsburgh,21447.00
ITT Technical Institute-Houston North,21443.00
Aviation Institute of Maintenance-Chesapeake,21443.00
Burlington College,21437.00
Stevens Henager College,21432.00
Career Point College,21430.00
Stanford University,21421.00
Dordt College,21420.00
ITT Technical Institute-Troy,21418.00
Saint Thomas Aquinas College,21415.00
Everest University-Orange Park,21407.00
ITT Technical Institute-Springfield,21405.00
Compass College of Cinematic Arts,21405.00
Bates College,21402.00
ITT Technical Institute-Lake Mary,21381.00
ITT Technical Institute_Tallahassee,21373.00
Argosy University-Salt Lake City,21368.00
ITT Technical Institute-Webster,21365.00
Everest College-Fort Worth,21363.00
Blue Cliff College-Gulfport,21360.00
University of Mount Union,21352.00
ITT Technical Institute-Arlington,21350.00
ITT Technical Institute-Duluth,21348.00
Elmhurst College,21344.00
Pennsylvania State University-Main Campus,21342.00
Fortis College,21332.00
ITT Technical Institute_Phoenix,21329.00
University of Phoenix-Northern Virginia Campus,21327.00
ITT Technical Institute-Lexington,21323.00
John Carroll University,21322.00
University of Phoenix-Springfield  Campus,21320.00
Dowling College,21319.00
Visible Music College,21319.00
ITT Technical Institute-Portland,21318.00
Saint John Fisher College,21315.00
Maryville University of Saint Louis,21310.00
Brown Mackie College-Tulsa,21309.00
Remington College-Nashville Campus,21309.00
ITT Technical Institute-Tulsa,21308.00
University of Phoenix-Las Vegas Campus,21299.00
University of Guam,21296.00
ITT Technical Institute_Corona,21296.00
University of Phoenix-Columbia Campus,21290.00
Westwood College-Dallas,21278.00
ITT Technical Institute-Greenville,21275.00
Minnesota School of Business-Waite Park,21273.00
Bay Path College,21272.00
ITT Technical Institute-San Antonio,21269.00
ITT Technical Institute-Tucson,21268.00
Argosy University-Seattle,21261.00
ITT Technical Institute_DeSoto,21260.00
Austin College,21255.00
ITT Technical Institute-Seattle,21255.00
Missouri Baptist University,21254.00
ITT Technical Institute-King of Prussia,21230.00
Valparaiso University,21229.00
ITT Technical Institute-Chantilly,21217.00
ITT Technical Institute-Orland Park,21208.00
University of Phoenix-Colorado Campus,21203.00
Liberty University,21198.00
Southern Vermont College,21196.00
ITT Technical Institute-Albany,21195.00
Business Informatics Center Inc,21193.00
Trinity Christian College,21191.00
ITT Technical Institute-Knoxville,21183.00
International College of Broadcasting,21182.00
University of Phoenix-Phoenix-Hohokam Campus,21176.00
Northwestern College,21172.00
ITT Technical Institute_West Covina,21168.00
Centura College-Virginia Beach,21161.00
University of Phoenix-Louisiana Campus,21160.00
Gwinnett College-Lilburn,21159.00
Professional Business College,21139.00
Globe Institute of Technology,21134.00
Blue Cliff College-Fayetteville,21134.00
Patten University,21131.00
College America-Colorado Springs,21122.00
International Academy of Design and Technology-Online,21121.00
ITT Technical Institute-Cordova,21116.00
Northwestern College,21113.00
Covenant College,21112.00
International Academy of Design and Technology-Chicago,21110.00
ITT Technical Institute-Norwood,21098.00
Carroll College,21091.00
Fortis College-Salt Lake City,21090.00
Cleary University,21087.00
Northwest College of Art,21083.00
University of Phoenix-Little Rock Campus,21069.00
Sanford-Brown College-Atlanta,21068.00
Minnesota School of Business-Elk River,21065.00
Argosy University-Chicago,21059.00
ITT Technical Institute-Houston West,21059.00
Sanford-Brown Institute-Orlando,21059.00
ITT Technical Institute-Harrisburg,21054.00
University of Phoenix-Northwest Indiana Campus,21052.00
Westwood College-Chicago Loop,21048.00
Daymar College-Louisville,21046.00
Taylor Business Institute,21042.00
Albion College,21039.00
ITT Technical Institute-Bessemer,21038.00
Blue Cliff College-Shreveport,21037.00
Sanford-Brown College-Hillside,21034.00
Trumbull Business College,21027.00
CollegeAmerica-Phoenix,21024.00
ITT Technical Institute-Maumee,21022.00
Centenary College,21020.00
ITT Technical Institute-Charlotte South,21020.00
Holy Cross College,21005.00
ITT Technical Institute-Boise,21003.00
University of Phoenix-Tulsa Campus,20987.00
ITT Technical Institute-Oak Brook,20986.00
ITT Technical Institute-San Diego,20970.00
ITT Technical Institute-Youngstown,20962.00
Southern California Institute of Architecture,20952.00
ITT Technical Institute-Dayton,20952.00
University of Phoenix-Philadelphia Campus,20952.00
Roberts Wesleyan College,20948.00
Beckfield College-Tri-County,20940.00
Southern California Institute of Technology,20936.00
University of Phoenix-Nashville Campus,20926.00
Jefferson College of Health Sciences,20921.00
St Joseph's College of Nursing at St Joseph's Hospital Health Center,20919.00
ITT Technical Institute-Richmond,20901.00
University of Phoenix-Louisville Campus,20886.00
The Art Institute of California-Orange County,20882.00
KD College Conservatory of Film and Dramatic Arts,20876.00
Bradford School,20874.00
Life University,20872.00
Lincoln College of Technology-Dayton,20866.00
University of Phoenix-Pittsburgh Campus,20858.00
Palm Beach Atlantic University-West Palm Beach,20856.00
City College-Fort Lauderdale,20853.00
Beckfield College-Florence,20846.00
University of Phoenix-Harrisburg Campus,20842.00
Oral Roberts University,20839.00
University of Phoenix-Atlanta Campus,20837.00
ITT Technical Institute-Dunmore,20829.00
Centura College-Richmond Main,20827.00
Dartmouth College,20814.00
ITT Technical Institute_Fort Myers,20814.00
Hood College,20813.00
Eagle Gate College-Layton,20813.00
Cedarville University,20807.00
Tiffin University,20804.00
University of Phoenix-Fairfield County Campus,20802.00
Crown College,20797.00
Central College,20786.00
European Academy of Cosmetology and Hairdressing,20785.00
Berkeley College-Woodland Park,20775.00
Wofford College,20772.00
Saint Martin's University,20765.00
Northwestern College,20761.00
ITT Technical Institute-Canton,20750.00
Everest University-Tampa,20748.00
North Central College,20737.00
Hondros College,20735.00
Remington College-Cleveland West Campus,20730.00
Lincoln College of Technology-Toledo,20730.00
Everest College-Thornton,20729.00
Albertus Magnus College,20726.00
Stevens-Henager College-Logan,20725.00
ITT Technical Institute-Earth City,20724.00
University of Phoenix-Jersey City Campus,20723.00
National American University-Rio Rancho,20719.00
Drury University,20708.00
Cornell College,20702.00
Eastern Nazarene College,20700.00
New York Career Institute,20690.00
Marywood University,20689.00
Hamline University,20688.00
Argosy University-Los Angeles,20686.00
Remington College-Memphis Campus,20682.00
Holy Names University,20681.00
University of Phoenix-Richmond Campus,20678.00
Massachusetts Institute of Technology,20660.00
Defiance College,20654.00
Heald College-Stockton,20654.00
International Business College-Indianapolis,20644.00
Charles R Drew University of Medicine and Science,20639.00
Hickey College,20631.00
University of Phoenix-Madison Campus,20631.00
Everest College-Ontario Metro,20624.00
Everest College-Fort Worth South,20620.00
ITT Technical Institute-San Dimas,20618.00
Franklin Pierce University,20616.00
ITT Technical Institute-Mobile,20615.00
Argosy University-Nashville,20613.00
Hampton University,20608.00
Remington College-Lafayette Campus,20604.00
ITT Technical Institute-Swartz Creek,20603.00
Gwynedd Mercy College,20595.00
University of Pennsylvania,20592.00
Washington and Lee University,20585.00
Virginia College-Huntsville,20583.00
Minnesota School of Business-Lakeville,20580.00
Metropolitan College of New York,20578.00
University of Phoenix-Oklahoma City Campus,20567.00
Aviation Institute of Maintenance-Orlando,20558.00
Clarkson College,20557.00
Westwood College-Houston South,20549.00
Augsburg College,20548.00
West Virginia Business College-Wheeling,20544.00
Westminster College,20533.00
University of Detroit Mercy,20529.00
St Mary's College of Maryland,20521.00
Concordia University-Portland,20520.00
Faulkner University,20519.00
Reinhardt University,20514.00
Valley Forge Christian College,20512.00
Southwestern Assemblies of God University,20511.00
ITT Technical Institute-Fort Lauderdale,20511.00
Houghton College,20496.00
ITT Technical Institute_Salem,20495.00
Aviation Institute of Maintenance-Dallas,20494.00
Eastern Mennonite University,20492.00
Aviation Institute of Maintenance-Philadelphia,20490.00
Myotherapy Institute,20486.00
San Joaquin Valley College-Online,20483.00
Dominican College of Blauvelt,20482.00
ITT Technical Institute-Bensalem,20477.00
Pennsylvania State University-Penn State Altoona,20457.00
New Life Theological Seminary,20453.00
Herzing University-Winter Park,20448.00
Argosy University-Twin Cities,20444.00
Fortis Institute,20443.00
Virginia Marti College of Art and Design,20443.00
Remington College-Baton Rouge Campus,20441.00
American InterContinental University-Online,20438.00
BryanLGH College of Health Sciences,20435.00
Warner Pacific College,20434.00
Swarthmore College,20427.00
Keuka College,20426.00
ITT Technical Institute-Torrance,20425.00
New York Institute of Technology,20423.00
ITT Technical Institute-Richardson,20423.00
Everest College-Colorado Springs,20416.00
Pennsylvania College of Art and Design,20408.00
ITT Technical Institute_Las Vegas,20408.00
Centura College-Newport News,20403.00
Colorado School of Mines,20401.00
The Art Institute of Cincinnati,20381.00
Argosy University-Phoenix,20374.00
ITT Technical Institute-Pittsburgh,20369.00
Marymount University,20368.00
Sanford-Brown Institute-Trevose,20365.00
ITT Technical Institute_Merrillville,20364.00
Heald College-San Francisco,20361.00
Concordia College-New York,20357.00
Hamilton College,20355.00
Brown Mackie College-St Louis,20351.00
ITT Technical Institute-Strongsville,20347.00
Capital University,20342.00
Sanford-Brown College-Farmington,20334.00
ITT Technical Institute-Mount Prospect,20331.00
Judson University,20326.00
University of Phoenix-Augusta Campus,20325.00
Pennsylvania State University-Penn State Erie-Behrend College,20315.00
Rosemont College,20313.00
Lees-McRae College,20310.00
Saint Norbert College,20310.00
Saint Edward's University,20309.00
Iowa Wesleyan College,20304.00
Queens University of Charlotte,20295.00
Loras College,20294.00
Remington College-Colorado Springs Campus,20293.00
ITT Technical Institute-Columbia,20293.00
University of Phoenix-Albuquerque Campus,20285.00
ASA Institute of Business and Computer Technology,20268.00
ITT Technical Institute-Miami,20244.00
Lipscomb University,20240.00
Point Park University,20222.00
National American University-Wichita,20222.00
Antonelli College-Jackson,20219.00
Berry College,20210.00
Coe College,20199.00
Chamberlain College of Nursing-Illinois,20189.00
Sanford-Brown College-Tysons Corner,20188.00
Sanford-Brown College-Dallas,20182.00
Edgewood College,20174.00
Fisher College,20171.00
Northwest University,20164.00
National University,20128.00
Everest College-Everett,20123.00
Miller-Motte College,20121.00
Fortis Institute-Nashville,20118.00
William Peace University,20116.00
Virginia College-Greenville,20110.00
Dayton School of Medical Massage,20095.00
ITT Technical Institute-Nashville,20092.00
University of Pittsburgh-Pittsburgh Campus,20076.00
Multnomah University,20063.00
Marian Court College,20059.00
International Baptist College,20051.00
National American University-Overland Park,20037.00
Florida National College-Main Campus,20026.00
ITT Technical Institute-Getzville,20010.00
Saint Catharine College,20007.00
New York College of Health Professions,20006.00
Remington College-Tampa Campus,19998.00
ITT Technical Institute-Baton Rouge,19993.00
Stautzenberger College-Brecksville,19987.00
Tabor College,19985.00
Everest College-Anaheim,19981.00
Golf Academy of America-Myrtle Beach,19973.00
ITT Technical Institute_Concord,19958.00
University of St Thomas,19952.00
Lake Erie College,19950.00
Concordia College at Moorhead,19948.00
Concordia University-Saint Paul,19943.00
Colorado Technical University-Kansas City,19941.00
Lincoln College of Technology-Tri-County,19939.00
Johnson College,19929.00
Herzing University-Birmingham,19920.00
Westwood College-O'Hare Airport,19903.00
Vanderbilt University,19899.00
California Baptist University,19887.00
ITT Technical Institute-Oxnard,19879.00
ITT Technical Institute-Orange,19871.00
Antonelli College-Cincinnati,19869.00
Westwood College-South Bay,19863.00
College America-Flagstaff,19861.00
Advanced Technology Institute,19853.00
Seton Hill University,19852.00
Rockford College,19849.00
ITT Technical Institute-Sylmar,19848.00
King's College,19843.00
Lincoln College of Technology-Vine Street,19836.00
Universal College of Healing Arts,19824.00
Pennsylvania State University-Penn State Berks,19822.00
Notre Dame College,19822.00
Westwood College-Atlanta Midtown,19811.00
International Academy of Design and Technology-San Antonio,19791.00
Hendrix College,19788.00
National American University-Colorado Springs,19781.00
Minnesota School of Business-Blaine,19774.00
York College Pennsylvania,19768.00
Fortis College-Indianapolis,19768.00
Reed College,19767.00
Molloy College,19756.00
Carroll University,19749.00
ITT Technical Institute-San Bernardino,19746.00
Wartburg College,19740.00
Concordia University-Wisconsin,19737.00
American InterContinental University-Atlanta,19736.00
Daymar College-Bellevue,19715.00
Remington College-Cleveland Campus,19714.00
Valley Forge Military College,19706.00
Virginia College-School of Business and Health,19701.00
Remington College-Mobile Campus,19696.00
L'Ecole Culinaire,19677.00
Rice University,19675.00
Yeshiva Shaarei Torah of Rockland,19675.00
Earlham College,19665.00
Methodist College of Nursing,19621.00
Rabbinical College of Ch'san Sofer New York,19610.00
College of Our Lady of the Elms,19601.00
American International College,19592.00
Heidelberg University,19586.00
Argosy University-Inland Empire,19586.00
Remington College-Shreveport Campus,19586.00
The College of New Jersey,19576.00
Mohave Community College,19552.00
Birmingham Southern College,19539.00
North Park University,19535.00
Argosy University-Hawaii,19530.00
University of Pittsburgh Medical Center-Shadyside School of Nursing,19527.00
Mesivta Keser Torah,19526.00
Westminster College,19524.00
Stetson University,19502.00
National Career Institute,19487.00
South Hills School of Business & Technology,19484.00
Everest College-Newport News,19483.00
Westwood College-Dupage,19476.00
Bluffton University,19475.00
Ripon College,19475.00
ITT Technical Institute-Tarentum,19473.00
Bridgewater College,19459.00
Asbury University,19458.00
Illinois Institute of Technology,19456.00
Baker University,19445.00
Saint Mary's University of Minnesota,19439.00
Delta School of Business and Technology,19438.00
University of Richmond,19429.00
Remington College-Honolulu Campus,19420.00
University of Evansville,19416.00
Unity College,19412.00
Pinnacle Career Institute-South Kansas City,19405.00
Northland College,19395.00
ITT Technical Institute_Culver City,19384.00
Southern Adventist University,19376.00
Notre Dame of Maryland University,19371.00
Pioneer Pacific College,19370.00
Averett University-Non-Traditional Programs,19359.00
Southwestern College,19359.00
Wade College,19357.00
Starting Points Inc,19357.00
Epic Bible College,19347.00
Baldwin-Wallace College,19346.00
Minnesota School of Business-Plymouth,19343.00
Mount Vernon Nazarene University,19340.00
University of Missouri-Kansas City,19315.00
Hastings College,19313.00
Saint Bonaventure University,19309.00
San Joaquin Valley College-Fresno Aviation,19305.00
Aviation Institute of Maintenance-Manassas,19289.00
Remington College-Houston Southeast Campus,19276.00
Sanford-Brown College-Houston,19274.00
Franklin College,19266.00
Sanford-Brown College-Grand Rapids,19266.00
Greensboro College,19264.00
Santa Barbara Business College-Ventura,19263.00
Briarcliffe College,19262.00
ITT Technical Institute-Lathrop,19237.00
Everest University-Pompano Beach,19224.00
Digital Media Arts College,19216.00
Jacksonville University,19211.00
Oregon College of Art and Craft,19207.00
Union Institute & University,19204.00
Lancaster Bible College,19201.00
Boulder College of Massage Therapy,19197.00
Wilmington College,19196.00
Key College,19153.00
Mary Baldwin College,19152.00
Temple University,19149.00
Humphreys College-Stockton and Modesto Campuses,19137.00
National American University-Brooklyn Center,19127.00
Westwood College-Inland Empire,19127.00
Hardin-Simmons University,19124.00
Thomas Aquinas College,19121.00
Vatterott College-St Charles,19121.00
Webber International University,19120.00
Centura College-Chesapeake,19114.00
Career Point College,19101.00
Ohio State University-Main Campus,19082.00
Columbia University in the City of New York,19073.00
Five Towns College,19068.00
Everest College-Chesapeake,19049.00
Transylvania University,19047.00
Agnes Scott College,19044.00
Simpson College,19044.00
Marian University,19018.00
Clarke University,19008.00
Brevard College,19005.00
Alma College,19001.00
Bel-Rea Institute of Animal Technology,18981.00
University of Indianapolis,18960.00
William Woods University,18953.00
Yale University,18934.00
Sanford-Brown College-Houston North Loop,18925.00
Millikin University,18922.00
Bennett College for Women,18915.00
Philadelphia Biblical University-Langhorne,18897.00
Lincoln College of New England-Suffield,18896.00
Academy of Court Reporting-Clawson,18891.00
University of Dubuque,18888.00
LaGrange College,18886.00
ITT Technical Institute-Clovis,18886.00
Stevens-Henager College-Murray,18884.00
Gannon University,18875.00
Florida Christian College,18865.00
Gardner-Webb University,18865.00
Cazenovia College,18858.00
Vatterott College-Sunset Hills,18858.00
Heald College-Rancho Cordova,18857.00
Fortis College-Centerville,18856.00
Remington College-Houston Campus,18853.00
Miami-Jacobs Career College-Sharonville,18853.00
Hawaii Pacific University,18852.00
Shasta Bible College and Graduate School,18852.00
Pennsylvania State University-Penn State Harrisburg,18846.00
Westwood College-Anaheim,18843.00
Flagler College-St Augustine,18841.00
Medvance Institute-West Palm,18838.00
Cedar Crest College,18833.00
Princeton University,18813.00
Pennsylvania College of Technology,18810.00
Millsaps College,18808.00
Mars Hill College,18807.00
College of St Joseph,18798.00
Sierra Valley College of Court Reporting,18793.00
Concordia University-Texas,18788.00
Marian University,18787.00
Rasmussen College-Minnesota,18780.00
Redstone College,18780.00
Belhaven University,18778.00
Goshen College,18760.00
Rockhurst University,18728.00
Philadelphia Biblical University-Wisconsin Wilderness,18725.00
Bluefield College,18721.00
Fisk University,18718.00
Blue Cliff College-Alexandria,18717.00
Schreiner University,18713.00
Allen College,18707.00
Goldey-Beacom College,18706.00
Lancaster General College of Nursing & Health Sciences,18706.00
Elmira Business Institute,18698.00
Southwestern Adventist University,18691.00
Heald College-Roseville,18686.00
Georgian Court University,18681.00
North Central University,18675.00
Andrews University,18671.00
National American University-Roseville,18666.00
Zion Bible College,18662.00
Sanford-Brown College-San Antonio,18648.00
Colgate University,18647.00
National College-Columbus,18643.00
Northwood University-Florida,18642.00
Heald College-San Jose,18641.00
Massachusetts Maritime Academy,18626.00
Heald College-Fresno,18623.00
Kilian Community College,18621.00
Sanford-Brown College-Dearborn,18621.00
Sacred Heart Major Seminary,18619.00
Thomas More College,18615.00
Central Penn College,18615.00
Emory and Henry College,18613.00
Good Samaritan College of Nursing & Health Science,18612.00
The University of Findlay,18596.00
Lubbock Christian University,18592.00
Island Drafting and Technical Institute,18588.00
Bradford School,18587.00
La Roche College,18575.00
National American University-Lee's Summit,18567.00
Community College of Aurora,18565.00
International Academy of Design and Technology-Orlando,18556.00
Pennsylvania State University-Penn State Hazleton,18553.00
Wilson College,18545.00
University of La Verne,18542.00
Fortis College-Richmond,18531.00
Hesston College,18522.00
Sanford-Brown College-Collinsville,18520.00
Cox College,18516.00
Benedictine University,18508.00
Ranken Technical College,18503.00
Blue Cliff College-Houma,18498.00
Christopher Newport University,18492.00
Stevens-Henager College of Business-Provo,18487.00
Pittsburgh Technical Institute,18486.00
Colby College,18475.00
Hanover College,18465.00
Heald College-Hayward,18464.00
McPherson College,18462.00
Sanford-Brown College-Fenton,18446.00
Faith Evangelical College & Seminary,18445.00
Spartan College of Aeronautics and Technology,18440.00
University of New Hampshire-Main Campus,18439.00
Vassar College,18438.00
Chaminade University of Honolulu,18430.00
Averett University,18417.00
Trinity College,18417.00
Sanford-Brown Institute-Ft Lauderdale,18414.00
L'Ecole Culinaire,18405.00
National American University-Independence,18404.00
Wellesley College,18400.00
Morningside College,18399.00
College of Saint Mary,18383.00
Walsh University,18379.00
University of Colorado Boulder,18377.00
Sanford-Brown Institute-Pittsburgh,18377.00
Rasmussen College-North Dakota,18375.00
Lakeland College,18367.00
Barton College,18366.00
SUM Bible College and Theological Seminary,18361.00
Sterling College,18359.00
Mount Aloysius College,18356.00
Blue Cliff College-Lafayette,18351.00
Northwest Nazarene University,18336.00
Saint Mary-of-the-Woods College,18332.00
Avila University,18325.00
Florida Southern College,18325.00
Colorado Technical University-Colorado Springs,18323.00
Augustana College,18321.00
Everest University-Melbourne,18312.00
ITT Technical Institute-Liverpool,18311.00
Southern Nazarene University,18284.00
Jna Institute of Culinary Arts,18282.00
Harvard University,18277.00
University of Baltimore,18275.00
International Academy of Design and Technology-Troy,18261.00
Barry University,18257.00
Pomona College,18255.00
Widener University-Delaware Campus,18255.00
Heald College-Concord,18250.00
Southeast Culinary & Hospitality College,18246.00
Mount Olive College,18245.00
Olivet Nazarene University,18243.00
Fortis Institute-Forty Fort,18239.00
Felician College,18237.00
Aquinas College,18214.00
Pinnacle Career Institute_North Kansas City,18207.00
Tennessee Temple University,18198.00
Sanford-Brown Institute-Tampa,18196.00
Campbell University,18162.00
Northwest Christian University,18160.00
Thomas College,18158.00
Robert Morris University Illinois,18157.00
University of Southern Maine,18156.00
Spring Hill College,18151.00
Ohio University-Main Campus,18142.00
National American University-Sioux Falls,18136.00
Canisius College,18133.00
University of Cincinnati-Main Campus,18131.00
Point University,18127.00
Xavier University of Louisiana,18127.00
Pennsylvania State University-Penn State Mont Alto,18125.00
Mid-Atlantic Christian University,18111.00
Westwood College-Denver South,18111.00
Greenville College,18110.00
National American University-Bloomington,18088.00
Midway College,18087.00
Rockford Career College,18085.00
Sanford-Brown Institute-Jacksonville,18085.00
McMurry University,18084.00
Arizona College of Allied Health,18072.00
College America-Fort Collins,18064.00
West Chester University of Pennsylvania,18055.00
Mercy College of Ohio,18050.00
Kansas Wesleyan University,18049.00
Friends University,18031.00
University of Northwestern Ohio,18028.00
Boricua College,18026.00
Manchester College,18015.00
Watkins College of Art Design & Film,17995.00
Fairleigh Dickinson University-Metropolitan Campus,17994.00
Skyline College-Roanoke,17990.00
College of Mount St. Joseph,17985.00
Ohio Center for Broadcasting-Columbus,17983.00
Saint Thomas University,17979.00
Wheeling Jesuit University,17978.00
Chattanooga College Medical Dental and Technical Careers,17972.00
Triangle Tech Inc-Pittsburgh,17963.00
Bon Secours Memorial College of Nursing,17961.00
Remington College-North Houston Campus,17950.00
Sojourner-Douglass College,17948.00
Manhattan Christian College,17946.00
MacCormac College,17935.00
Saint Charles Borromeo Seminary-Overbrook,17933.00
Sanford-Brown College-West Allis,17902.00
Doane College-Crete,17884.00
Dallas Baptist University,17879.00
International Business College,17868.00
Heald College-Honolulu,17849.00
Goddard College,17844.00
Saint Elizabeth College of Nursing,17824.00
Harrison College-Elkhart,17822.00
University of Fort Lauderdale,17818.00
King's University,17810.00
Charter College-Anchorage,17808.00
University of Phoenix-Puerto Rico Campus,17804.00
Fortis College,17803.00
Montreat College,17795.00
Ferrum College,17782.00
Mercer University,17770.00
ECPI University,17770.00
College of Mount Saint Vincent,17764.00
Rocky Mountain College,17759.00
City College-Miami,17758.00
Lenoir-Rhyne University,17752.00
National American University-Rapid City,17746.00
Colorado Technical University-Greenwood Village,17745.00
Stevens Institute of Business & Arts,17740.00
Heald College-Modesto,17740.00
Harrison College-Terre Haute,17729.00
St. Mary's University,17714.00
Victory University,17714.00
Bethel College-Mishawaka,17711.00
National American University-Austin,17704.00
Geneva College,17701.00
Southern Virginia University,17693.00
Nyack College,17688.00
University of Sioux Falls,17681.00
New York School of Interior Design,17673.00
Potomac College-Washington,17664.00
Mount Carmel College of Nursing,17658.00
Houston Baptist University,17648.00
Oglethorpe University,17646.00
Vatterott College-Joplin,17641.00
Presentation College,17637.00
Midstate College,17635.00
Virginia Polytechnic Institute and State University,17631.00
Longy School of Music,17628.00
Fontbonne University,17614.00
NHTI-Concord's Community College,17613.00
Union College,17612.00
National American University-Denver,17608.00
Pennsylvania State University-Penn State Schuylkill,17588.00
Triangle Tech Inc-Greensburg,17586.00
Amherst College,17574.00
Harrison College-Evansville,17569.00
Spalding University,17564.00
Academy College,17556.00
Fortis College-Winter Park,17544.00
Pfeiffer University,17536.00
Dean Institute of Technology,17536.00
Mandl The College of Allied Health,17526.00
Oklahoma Wesleyan University,17520.00
Boston Baptist College,17516.00
Maranatha Baptist Bible College,17516.00
Ohio Dominican University,17513.00
Davis College,17510.00
Bethany Lutheran College,17495.00
Kent State University at Kent,17489.00
Oklahoma Christian University,17483.00
St Joseph School of Nursing,17477.00
Rasmussen College-Illinois,17469.00
Stautzenberger Institute-Allen Park,17458.00
