college,price
The Art Institute of Portland,28364.00
Drew University,28361.00
Strayer University-South Carolina,28326.00
Strayer University-Florida,28310.00
Strayer University-Georgia,28245.00
Bentley University,28238.00
The Art Institute of Michigan,28234.00
Le Cordon Bleu Institute of Culinary Arts-Pittsburgh,28226.00
Elon University,28208.00
Goucher College,28152.00
Biola University,28118.00
Loyola University Maryland,28118.00
Strayer University-Pennsylvania,28115.00
Texas Christian University,28097.00
Saint Anselm College,28087.00
The Art Institute of Washington-Northern Virginia,28082.00
The Art Institute of Fort Lauderdale,28081.00
American Academy of Dramatic Arts-New York,28068.00
Albany College of Pharmacy and Health Sciences,28023.00
DigiPen Institute of Technology,28008.00
Syracuse University,27994.00
Washington College,27977.00
Pacific College of Oriental Medicine LLC-San Diego,27950.00
Columbia College-Chicago,27934.00
Fairfield University,27930.00
University of New Haven,27926.00
Corcoran College of Art and Design,27925.00
Dickinson College,27871.00
Occidental College,27846.00
George Washington University,27793.00
Hebrew Theological College,27792.00
Porter and Chester Institute of Stratford,27781.00
University of the Pacific,27766.00
Fountainhead College of Technology,27756.00
Chamberlain College of Nursing-Arizona,27749.00
Strayer University-Tennessee,27733.00
Immaculata University,27677.00
The Art Institute of Phoenix,27652.00
Spelman College,27648.00
University of Miami,27636.00
Strayer University-Ohio,27632.00
The Art Institute of Tucson,27598.00
Gettysburg College,27591.00
Emmanuel College,27567.00
University of Southern California,27541.00
Suffolk University,27503.00
Fortis Institute-Scranton,27489.00
Court Reporting Institute of Louisiana,27488.00
Minnesota School of Business-Moorhead,27487.00
Ross Medical Education Center,27462.00
Gonzaga University,27455.00
Wheaton College,27451.00
Bryan College-Rogers,27445.00
University of St Thomas,27407.00
DeVry University-Maryland,27405.00
Rollins College,27394.00
Bryan College-Topeka,27391.00
Saint Michael's College,27381.00
The Art Institute of Virginia Beach,27370.00
Dallas Institute of Funeral Service,27351.00
Belmont University,27285.00
Everest College-Henderson,27279.00
Santa Fe University of Art and Design,27276.00
Azusa Pacific University,27255.00
AI Miami International University of Art and Design,27242.00
Lewis & Clark College,27229.00
Lasell College,27227.00
Mitchell College,27223.00
Mount Ida College,27194.00
Porter and Chester Institute of Branford,27180.00
Case Western Reserve University,27169.00
American Academy of Dramatic Arts-Los Angeles,27161.00
Point Loma Nazarene University,27160.00
Bard College at Simon's Rock,27144.00
Illinois Wesleyan University,27134.00
Lindenwood University,27134.00
Northwestern University,27113.00
DeVry University-Oklahoma,27110.00
Western New England University,27099.00
DeVry University-Utah,27077.00
South University-Savannah,27056.00
Babson College,27052.00
JFK Medical Center Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of,27041.00
Cincinnati College of Mortuary Science,27033.00
Union College,27003.00
Sarah Lawrence College,26961.00
Le Cordon Bleu College of Culinary Arts-Pasadena,26958.00
Ross Medical Education Center-Niles,26957.00
Notre Dame de Namur University,26931.00
South University-Montgomery,26923.00
Denison University,26907.00
Stenotype Institute of Jacksonville Inc-Jacksonville,26907.00
Saint John Vianney College Seminary,26880.00
Le Cordon Bleu College of Culinary Arts-Minneapolis,26873.00
Baylor University,26870.00
Ursinus College,26859.00
Kaplan University-Council Bluffs Campus,26858.00
Methodist University,26851.00
Globe University-Minneapolis,26848.00
Vanguard College of Cosmetology-Metairie,26835.00
The Art Institute of California-San Francisco,26828.00
Wagner College,26807.00
Mid-Continent University,26806.00
West Coast Ultrasound Institute,26792.00
Globe University-Madison East,26779.00
Pontifical College Josephinum,26753.00
The Art Institutes of York-PA,26748.00
West Coast University-Orange County,26744.00
DeVry University-Pennsylvania,26718.00
Philadelphia University,26703.00
University of Hartford,26701.00
Seton Hall University,26691.00
Widener University-Main Campus,26677.00
FIDM/Fashion Institute of Design & Merchandising-San Diego,26627.00
Gordon College,26622.00
The Art Institute of Pittsburgh-Online Division,26617.00
Wyotech-Long Beach,26608.00
University of Dallas,26597.00
University of Advancing Technology,26588.00
California Lutheran University,26580.00
Chamberlain College of Nursing-Florida,26574.00
Stenotype Institute of Jacksonville Inc-Orlando,26558.00
Maine College of Art,26551.00
DeVry University-Minnesota,26524.00
Georgetown University,26521.00
Acupuncture and Massage College,26507.00
DeSales University,26494.00
Mills College,26465.00
Globe University-La Crosse,26449.00
Fortis College-Norfolk,26419.00
Goodwin College,26412.00
Sierra Nevada College,26401.00
Saint Mary's College,26391.00
Ross Medical Education Center-Granger,26351.00
Kalamazoo College,26347.00
Daymar Institute-Clarksville,26342.00
Carthage College,26310.00
